Copyright:  ZZ Resistivity Imaging Pty Ltd -------- www.zzgeo.com
Electrode checking results:
    
Format:  electrode no.;    Current_value;     Resistant value;       Good/Bad/Unused
 2             electrode checkings are completed
************ Electrode checking            1 
 1            Common electrode no.:        1 
 1             1            -1            -1               Unused
 1             2             0.0478125     752.9412        Good
 1             3             0.05134115    701.192         Good
 1             4             0.05784114    622.3943        Good
 1             5             0.05468749    658.2858        Good
 1             6             0.05662761    635.7324        Good
 1             7             0.06133593    586.9317        Good
 1             8             0.04723437    762.1569        Good
 1             9             0.06285416    572.7544        Good
 1             10            0.05947916    605.254         Good
 1             11            0.0538125     668.9896        Good
 1             12            0.05493229    655.3523        Good
 1             13            0.04833855    744.7473        Good
 1             14            0.05647396    637.4619        Good
 1             15            0.06204427    580.2308        Good
 1             16            0.03634375    990.5418        Good
 1             17            0.03141667    1145.889        Good
 1             18            0.05561198    647.3426        Good
 1             19            0.04196354    857.8875        Good
 1             20            0.04727343    761.527         Good
 1             21            0.05438281    661.9739        Good
 1             22            0.03791145    949.5811        Good
 1             23            0.04755469    757.0232        Good
 1             24            0.01584896    2271.442        Good
 1             25            0.007023438   5125.695        Good
 1             26            0.03715365    968.9493        Good
 1             27            0.0450651     798.8442        Good
 1             28            0.03020053    1192.032        Good
 1             29            0.04313021    834.6818        Good
 1             30            0.04523177    795.9007        Good
 1             31            0.05032292    715.3798        Good
 1             32            0.04524219    795.7175        Good
 1             33            0.05710416    630.4269        Good
 1             34            0.05220052    689.6483        Good
 1             35            0.05854948    614.8646        Good
 1             36            0.05965886    603.431         Good
 1             37            0             99999          ********* BBBBad
 1             38            0             99999          ********* BBBBad
 1             39            0.06226562    578.1682        Good
 1             40            0             99999          ********* BBBBad
 1             41            0.04784895    752.3676        Good
 1             42            0.05110937    704.3718        Good
 1             43            0.05288281    680.7505        Good
 1             44            0.05209896    690.9927        Good
 1             45            0.04488281    802.0888        Good
 1             46            0.04778124    753.4337        Good
 1             47            0.04251302    846.7995        Good
 1             48            0.03788281    950.299         Good
 1             49            0.04185156    860.183         Good
 1             50            0.04884114    737.0834        Good
 1             51            0.04907291    733.6022        Good
 1             52            0.05286719    680.9517        Good
 1             53            0.0435        827.5862        Good
 1             54            0.04777864    753.4747        Good
 1             55            0.05840885    616.345         Good
 1             56            0.0445026     808.9415        Good
 1             57           -1            -1               Unused
 1             58           -1            -1               Unused
 1             59           -1            -1               Unused
 1             60            0.05724479    628.8782        Good
 1             61            0.04123438    873.0579        Good
 1             62            0.06118749    588.3555        Good
 1             63           -1            -1               Unused
 1             64            0.06155207    584.8706        Good
 1             65           -1            -1               Unused
 1             66           -1            -1               Unused
 1             67           -1            -1               Unused
 1             68           -1            -1               Unused
 1             69           -1            -1               Unused
 1             70           -1            -1               Unused
 1             71           -1            -1               Unused
 1             72           -1            -1               Unused
 1             73           -1            -1               Unused
 1             74           -1            -1               Unused
 1             75           -1            -1               Unused
 1             76           -1            -1               Unused
 1             77           -1            -1               Unused
 1             78           -1            -1               Unused
 1             79           -1            -1               Unused
 1             80           -1            -1               Unused
 1             81           -1            -1               Unused
 1             82           -1            -1               Unused
 1             83           -1            -1               Unused
 1             84           -1            -1               Unused
 1             85           -1            -1               Unused
 1             86           -1            -1               Unused
 1             87           -1            -1               Unused
 1             88           -1            -1               Unused
 1             89           -1            -1               Unused
 1             90           -1            -1               Unused
 1             91           -1            -1               Unused
 1             92           -1            -1               Unused
 1             93           -1            -1               Unused
 1             94           -1            -1               Unused
 1             95           -1            -1               Unused
 1             96           -1            -1               Unused
************ Electrode checking            2 
